Station,Date,Discharge,Longitude,Latitude
USGS-02097517,2021-05-07,49.9,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-08,48.8,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-09,33.1,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-10,55.5,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-11,72.5,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-12,52.8,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-13,46.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-14,30.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-15,27.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-16,26.5,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-17,31.6,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-18,30.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-19,25.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-20,20.3,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-21,18.4,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-22,17.1,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-23,16.4,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-24,17.3,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-25,15.4,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-26,15.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-27,14.8,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-28,14.9,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-29,15.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-30,18.4,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-31,16.9,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-01,16.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-02,16.3,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-03,94.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-04,95.3,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-05,30.6,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-06,20.6,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-07,17.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-08,21.3,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-09,18.9,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-10,34.8,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-11,89.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-12,51.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-13,21.4,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-14,17.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-15,16.9,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-16,14.8,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-17,13.8,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-18,13.3,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-19,11.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-20,39.3,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-21,21.8,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-22,91.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-23,79.6,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-24,25.0,-79.0197222222222,35.8933333333333
